"시도","시군구","기관명","주소","위치","연락처","대상","아빠이용","경도","위도","데이터기준일자"
"부산","해운대구","홈플러스해운대점","부산 해운대구 해운대해변로 140","1층","051-714-8701","외부인","가능","129.1464910","35.15839725","2020-12-31"
"부산","해운대구","국민건강보험공단해운대지사","부산 해운대구 해운대로349번길 13","2층","051-749-8115","외부인","가능","129.1356550","35.17238075","2020-12-31"
"부산","해운대구","롯데백화점센텀시티점","부산 해운대구 센텀남대로 59","6층 유아휴게실","051-730-2500","외부인","가능","129.1310752","35.16985471","2020-12-31"
"부산","해운대구","반송보건지소","부산 해운대구 반송로 853","1층","051-749-6975","외부인","가능","129.1478949","35.23004354","2020-12-31"
"부산","해운대구","벡스코제1전시장","부산 해운대구 APEC로 55","제1전시장 1층","051-740-7327","외부인","가능","129.1360149","35.16906028","2020-12-31"
"부산","해운대구","부산교통공사동백역","부산 해운대구 해운대로 지하 522 (우동, 부산지하철 동백역)","고객센터 내","051-678-6204","외부인","가능","129.1486908","35.16106251","2020-12-31"
"부산","해운대구","부산교통공사동부산대학역","부산 해운대구 반송로 917","게이트 안쪽","051-678-6412","외부인","가능","129.1538058","35.23242097","2020-12-31"
"부산","해운대구","부산교통공사반여농산물시장역","부산 해운대구 반송로 550","하선 승강장 입구 옆","051-678-6409","외부인","가능","129.1240186","35.21775678","2020-12-31"
"부산","해운대구","부산교통공사벡스코역","부산 해운대구 해운대로 지하 396 (우동, 부산지하철 시립미술관역)","고객센터 내","051-678-6205","외부인","가능","129.1388776","35.16888915","2020-12-31"
"부산","해운대구","부산교통공사석대역","부산 해운대구 석대천로 121","고객센터 옆","051-678-6410","외부인","가능","129.1368307","35.21811473","2020-12-31"
"부산","해운대구","부산교통공사센텀시티역","부산 해운대구 센텀남대로 50 (우동, 센템임페리얼타워빌딩)","고객센터 내","051-678-6206","외부인","가능","129.1313034","35.16810390","2020-12-31"
"부산","해운대구","부산교통공사영산대역","부산 해운대구 반송로 803","고객센터 뒤","051-678-6411","외부인","가능","129.1461626","35.22560718","2020-12-31"
"부산","해운대구","부산교통공사장산역","부산 해운대구 해운대로 지하 820 (좌동, 부산지하철 장산역)","고객센터 내","051-678-6201","외부인","가능","129.1769506","35.16993090","2020-12-31"
"부산","해운대구","부산교통공사중동역","부산 해운대구 해운대로 지하 730 (중동, 부산지하철 중동역)","고객센터 내","051-678-6202","외부인","가능","129.1686157","35.16664955","2020-12-31"
"부산","해운대구","부산교통공사해운대역","부산 해운대구 해운대로 지하 626 (우동, 부산지하철 해운대역)","고객센터 내","051-678-6203","외부인","가능","129.1588694","35.16364255","2020-12-31"
"부산","해운대구","부산반여초등학교","부산 해운대구 재반로242번길 51-10","1층 보건실","051-782-5131","직원용","불가","129.1349627","35.19914926","2020-12-31"
"부산","해운대구","시립미술관","부산 해운대구 APEC로 58 (우동, 부산시립미술관)","1층","051-740-2600","외부인","가능","129.1370247","35.16668917","2020-12-31"
"부산","해운대구","신세계백화점센텀시티점","부산 해운대구 센텀남대로 35","6층 유아휴게실","051-745-1621","외부인","가능","129.1290824","35.16863843","2020-12-31"
